WHITE,,,,,,,,,,,,,
advance,rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R w,f1-e2,1,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Scandi,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w,e4-d5,1,,,,,,,,,,
Qxd5,rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w,b1-c3,1,,,,,,,,,,
Qa5,rnb1kbnr/ppp1pppp/8/q7/8/2N5/PPPP1PPP/R1BQKBNR w,d2-d4,0.9,g1-f3,0.1,,,,,,,,
Nf6,rnbqkb1r/ppp1pppp/5n2/3P4/8/8/PPPP1PPP/RNBQKBNR w,d2-d4,0.6,f1-b5,0.2,g1-f3,0.2,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Alekhine,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w,e4-e5,0.9,b1-c3,0.1,,,,,,,,
,rnbqkb1r/pppppppp/8/3nP3/8/8/PPPP1PPP/RNBQKBNR w,d2-d4,0.8,b1-c3,0.1,f1-c4,0.1,,,,,,
,rnbqkb1r/ppp1pppp/3p4/3nP3/3P4/8/PPP2PPP/RNBQKBNR w,g1-f3,0.6,c2-c4,0.4,,,,,,,,
,rnbqkb1r/ppp1pppp/1n1p4/4P3/2PP4/8/PP3PPP/RNBQKBNR w,e5-d6,0.8,f2-f4,0.2,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
d4,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w,c2-c4,0.7,g1-f3,0.2,c1-f4,0.05,b1-c3,0.05,,,,
QP game,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w,c2-c4,0.8,c1-f4,0.2,,,,,,,,
e6,rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w,c2-c4,0.6,e2-e4,0.2,g1-f3,0.2,,,,,,
